,0,1
1689240946742,"{'rnti': '006e', 'dlBytes': 94737714, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28081222, 'ulMcs': 6, 'ulBler': 0.011314, 'ri': 1, 'pmi': '(0,0)', 'phr': 43, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 14.5, 'rsrp': -111, 'rssi': 76.7, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 20.0}",
1689240947742,"{'rnti': '006e', 'dlBytes': 94739661, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28082696, 'ulMcs': 6, 'ulBler': 0.003945, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 13.5, 'rsrp': -112, 'rssi': 68.0, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 10.5}",
1689240948742,"{'rnti': '006e', 'dlBytes': 94741608, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28084170, 'ulMcs': 6, 'ulBler': 0.001376, 'ri': 1, 'pmi': '(0,0)', 'phr': 45, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 75.2, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 20.5}",
1689240949742,"{'rnti': '006e', 'dlBytes': 94743555, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28085644, 'ulMcs': 6, 'ulBler': 0.00048, 'ri': 1, 'pmi': '(0,0)', 'phr': 45, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.5, 'rsrp': -113, 'rssi': 68.9, 'cqi': 15, 'pucchSnr': 18.0, 'puschSnr': 12.0}",
1689240950742,"{'rnti': '006e', 'dlBytes': 94745502, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28087118, 'ulMcs': 6, 'ulBler': 0.000167, 'ri': 1, 'pmi': '(0,0)', 'phr': 45, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 77.7, 'cqi': 15, 'pucchSnr': 22.0, 'puschSnr': 21.0}",
1689240951742,"{'rnti': '006e', 'dlBytes': 94747449, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28088443, 'ulMcs': 6, 'ulBler': 0.090065, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.5, 'rsrp': -113, 'rssi': 74.3, 'cqi': 15, 'pucchSnr': 20.0, 'puschSnr': 17.5}",
1689240952742,"{'rnti': '006e', 'dlBytes': 94749396, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28089933, 'ulMcs': 6, 'ulBler': 0.031404, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 68.9, 'cqi': 15, 'pucchSnr': 22.0, 'puschSnr': 12.5}",
1689240953742,"{'rnti': '006e', 'dlBytes': 94751343, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28091391, 'ulMcs': 6, 'ulBler': 0.01095, 'ri': 1, 'pmi': '(0,0)', 'phr': 49, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 74.7, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 18.0}",
1689240954742,"{'rnti': '006e', 'dlBytes': 94753290, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28092881, 'ulMcs': 6, 'ulBler': 0.003818, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 68.9, 'cqi': 15, 'pucchSnr': 20.0, 'puschSnr': 11.5}",
1689240955742,"{'rnti': '006e', 'dlBytes': 94755237, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28094339, 'ulMcs': 6, 'ulBler': 0.001331, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 74.5, 'cqi': 15, 'pucchSnr': 22.0, 'puschSnr': 19.0}",
1689240956742,"{'rnti': '006e', 'dlBytes': 94757184, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28095680, 'ulMcs': 6, 'ulBler': 0.000516, 'ri': 1, 'pmi': '(0,0)', 'phr': 45, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 13.0, 'rsrp': -113, 'rssi': 70.4, 'cqi': 15, 'pucchSnr': 20.0, 'puschSnr': 14.0}",
1689240957742,"{'rnti': '006e', 'dlBytes': 94759131, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28097154, 'ulMcs': 6, 'ulBler': 0.00018, 'ri': 1, 'pmi': '(0,0)', 'phr': 43, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.5, 'rsrp': -113, 'rssi': 71.0, 'cqi': 15, 'pucchSnr': 22.0, 'puschSnr': 13.5}",
1689240958742,"{'rnti': '006e', 'dlBytes': 94761078, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28098628, 'ulMcs': 6, 'ulBler': 6.3e-05, 'ri': 1, 'pmi': '(0,0)', 'phr': 43, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 11.0, 'rsrp': -114, 'rssi': 71.0, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 14.0}",
1689240959742,"{'rnti': '006e', 'dlBytes': 94763025, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28100102, 'ulMcs': 6, 'ulBler': 2.2e-05, 'ri': 1, 'pmi': '(0,0)', 'phr': 45, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.5, 'rsrp': -113, 'rssi': 69.7, 'cqi': 15, 'pucchSnr': 22.0, 'puschSnr': 11.5}",
1689240960742,"{'rnti': '006e', 'dlBytes': 94764972, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28101576, 'ulMcs': 6, 'ulBler': 8e-06, 'ri': 1, 'pmi': '(0,0)', 'phr': 43, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 71.0, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 13.0}",
1689240961742,"{'rnti': '006e', 'dlBytes': 94766742, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28102986, 'ulMcs': 6, 'ulBler': 3e-06, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 74.5, 'cqi': 15, 'pucchSnr': 18.0, 'puschSnr': 18.5}",
1689240962742,"{'rnti': '006e', 'dlBytes': 94768689, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28104311, 'ulMcs': 6, 'ulBler': 1e-06, 'ri': 1, 'pmi': '(0,0)', 'phr': 45, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 11.5, 'rsrp': -114, 'rssi': 76.1, 'cqi': 15, 'pucchSnr': 19.0, 'puschSnr': 20.0}",
1689240963742,"{'rnti': '006e', 'dlBytes': 94770636, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28105801, 'ulMcs': 6, 'ulBler': 0.0, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 68.9, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 12.0}",
